Department,Email

Design,design1@biometriccables.com
Sales,kumanan@biometriccables.com
Process,process1@biometriccables.com
Supplier,murugan@biometriccables.com
Stores,Stores bmc
QARA,qara2@biometriccables.com
Customer Return,ccs@biometriccables.com
Customer,ccs@biometriccables.com
Communication,qara2@biometriccables.com
Maintenance,Mohamed shali
Production-assembly-Chennai,mari@biometriccables.com
Production assembly-Trichy,trichy@biometriccables.com
Production-moulding-Chennai,mari@biometriccables.com
Production-moulding Trichy,trichy@biometriccables.com
Production O2,mari@biometriccables.com
IQC Chennai,ccs@biometriccables.com
IQC Trichy,ccs@biometriccables.com
IPQC Assembly Chennai,ccs@biometriccables.com
IPQC Assembly Trichy,ccs@biometriccables.com
IPQC Moulding Chennai,ccs@biometriccables.com
IPQC Moulding Trichy,ccs@biometriccables.com
IPQC OS,ccs@biometriccables.com
FQC Chennai,ccs@biometriccables.com
FQC Trichy,ccs@biometriccables.com
