#,Item No.,Item Description,Base Price List,Factor,Primary Currency - Base Price (currency),Primary Currency - Base Price,Primary Currency - Price (currency),Primary Currency - Price,Primary Currency - Manual,Inventory UoM,Pricing Unit,Final Price,INR,USD,EURO
1,0-00-521-0748-82,R*CON/SKT/12P/ECG/GREEN-PLANET(PANEL MOU),Purchase Price List,1,INR,1.22,INR,1.22,N,Manual,Manual,1.22,1,85.56,92.52
2,0-00-521-0787-62,R*CON SKT/12P/1BP/RED,Purchase Price List,1,INR,1.22,INR,1.22,N,Manual,Manual,1.22,1,85.56,92.52
3,0-00-521-1051-46,R*CON/SKT/12 P/YELLOW,Purchase Price List,1,INR,1.71,INR,1.71,N,Manual,Manual,1.71,1,85.56,92.52
4,002-004-050,Breathing Bag (Silicone)- 0.5ltr,Purchase Price List,1,INR,1200,INR,1200,N,Manual,Manual,1200,1,85.56,92.52
5,002-004-100,Breathing Bag (Silicone)-1Ltr,Purchase Price List,1,INR,750,INR,750,N,Manual,Manual,750,1,85.56,92.52
6,002-004-200,Breathing Bag (Silicone)-2Ltr,Purchase Price List,1,INR,1200,INR,1200,N,Manual,Manual,1200,1,85.56,92.52
7,002-004-300,Breathing Bag (Silicone)-3Ltr,Purchase Price List,1,USD,8,USD,8,N,Manual,Manual,684.48,1,85.56,92.52
8,003-001-1001,Bacteria & Viral Filter: 22F -15F/22M,Purchase Price List,1,INR,52,INR,52,N,Manual,Manual,52,1,85.56,92.52
9,003-002-1001,HME FILTER : 22F-15F/22M,Purchase Price List,1,INR,70,INR,70,N,Manual,Manual,70,1,85.56,92.52
10,010301013,10 LEAD ECG CABLE -4mm Banana Pin,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
11,010303013A,10 Lead ECG Cable-Clip On(Texas Intruments),Purchase Price List,1,INR,338.11,INR,338.11,N,Manual,Manual,338.11,1,85.56,92.52
12,014102071,4 Lead ECG Cables-Clip On(Texas Instruments),Purchase Price List,1,INR,256.71,INR,256.71,N,Manual,Manual,256.71,1,85.56,92.52
13,020101001,SPO2 Pulse Oximeter Adult Probe 0.9m(Texas Instruments),Purchase Price List,1,INR,261.33,INR,261.33,N,Manual,Manual,261.33,1,85.56,92.52
14,100023 Rev.A,"Cable SPO2 Assembly,Finger",Purchase Price List,1,INR,231.13,INR,231.13,N,Manual,Manual,231.13,1,85.56,92.52
15,100023 Rev.B,"Cable SPO2 Assembly,Finger",Purchase Price List,1,INR,280.91,INR,280.91,N,Manual,Manual,280.91,1,85.56,92.52
16,10147603-00008LF,Receptacle HSG,Purchase Price List,1,USD,0.17,USD,0.17,N,Manual,Manual,14.5452,1,85.56,92.52
17,10147604-01LF,Crimp Terminal,Purchase Price List,1,USD,0.03,USD,0.03,N,Manual,Manual,2.5668,1,85.56,92.52
